行 ID,订单 ID,订单日期,发货日期,邮寄方式,客户 ID,细分,城市,省/自治区,国家,地区,产品 ID,产品名称,销售额,数量,折扣,利润
6792,CN-2018-5956361,2018/1/7,2018/1/10,二级,贺伟-21490,消费者,廊坊,河北,中国,华北,办公用-美术-10002373,"Stanley 画布, 整包",1160.6,5,0,138.6
4378,CN-2018-4497265,2018/9/16,2018/9/21,标准级,郭博-10525,公司,平凉,甘肃,中国,西北,办公用-收纳-10004132,"Rogers 盘, 工业",1160.32,4,0,510.16
4408,CN-2018-1904299,2018/8/5,2018/8/9,标准级,刘婵-10945,消费者,绥棱,黑龙江,中国,东北,办公用-收纳-10000208,"Rogers 搁板, 单宽度",1160.32,4,0,347.76
9056,US-2017-4479160,2017/3/21,2017/3/25,标准级,贾伟-21415,消费者,亿诚,江苏,中国,华东,办公用-收纳-10000208,"Rogers 搁板, 单宽度",1160.32,4,0,347.76
121,CN-2016-3269021,2016/10/8,2016/10/8,当日,冯丽-17350,消费者,镇江,江苏,中国,华东,技术-配件-10002633,"罗技 记忆卡, 耐用",1160.208,4,0.4,173.488
4734,US-2017-2386979,2017/10/15,2017/10/18,二级,俞丹-12025,消费者,武汉,湖北,中国,中南,办公用-装订-10001078,"Ibico 订书机, 回收",1159.872,8,0.4,-39.648
2951,CN-2016-4497265,2016/2/22,2016/2/26,标准级,罗霖-17530,消费者,平度,山东,中国,华东,家具-椅子-10003329,"SAFCO 椅垫, 每套两件",1158.64,4,0,161.84
8973,CN-2017-4092793,2017/6/6,2017/6/11,标准级,黄磊-16000,消费者,启东,江苏,中国,华东,家具-书架-10001540,"Dania 古典书架, 白色",1157.184,1,0.4,-347.256
7445,CN-2015-3819209,2015/12/23,2015/12/27,标准级,薛梦-18190,消费者,景德镇,江西,中国,华东,家具-书架-10001213,"宜家 书架, 黑色",1156.68,2,0,566.72
9137,CN-2017-1086295,2017/7/18,2017/7/23,二级,贺宁-18700,消费者,长沙,湖南,中国,中南,技术-复印-10001533,"惠普 个人复印机, 数字化",1156.68,2,0,439.32
9732,CN-2015-1538609,2015/12/24,2015/12/29,标准级,吴磊-16165,公司,莱芜,山东,中国,华东,家具-书架-10001213,"宜家 书架, 黑色",1156.68,2,0,566.72
6516,US-2018-4595101,2018/4/23,2018/4/28,标准级,段强-19420,公司,宜昌,湖北,中国,中南,技术-设备-10004664,"柯尼卡 计算器, 多色",1156.512,8,0.4,-751.968
