姓名,学号,性别,身份证号码,出生日期,高考分数
艾城,1514120801,女,1.20E+17,1997/1/30,299
白有成,1514121501,男,1.30E+17,1996/2/8,311
毕程青,1514821524,男,1.41E+17,1997/9/16,259
蔡志涛,1514820832,女,1.52E+17,1997/9/18,232
曹峰,1514121601,男,2.11E+17,1996/5/11,243
曹志丽,1514140101,女,2.21E+17,1996/8/6,343
汪明政,1515140712,女,5.32E+17,1996/9/21,397
汪添,1514122415,女,5.42E+17,1997/9/7,310
汪媛,1514120817,女,3.60E+17,1996/7/6,290
汪志诚,1515140713,男,1.20E+17,1996/2/1,402
王晨,1514120818,男,1.30E+17,1997/9/4,324
王芳君,1514140113,女,1.41E+17,1996/1/29,287
王淦,1514840125,女,1.52E+17,1996/6/16,291
王思斌,1514140416,男,2.11E+17,1997/3/29,302
王威,1514121710,女,2.21E+17,1996/3/31,235
王希瑞,1515140714,女,2.30E+17,1996/8/13,227
王雄军,1515140715,男,3.10E+17,1997/4/7,310
王序辉,1514122416,男,3.22E+17,1997/9/2,310
王阳,1514121313,女,3.32E+17,1996/7/21,314
王一鸣,1514121314,男,3.42E+17,1996/11/2,274
王泽东云,1514140213,男,3.51E+17,1996/8/22,348
王哲,1514121711,女,3.60E+17,1997/5/22,332
王喆,1514121712,女,3.71E+17,1997/7/17,312
魏曦,1514121315,女,4.10E+17,1996/3/15,265
温永荣,1515140716,男,4.21E+17,1997/4/10,360
吴成宗,1514140214,男,4.31E+17,1995/11/29,399
吴楚楚,1514121616,女,4.42E+17,1996/8/12,301
吴传涛,1514120819,男,4.51E+17,1996/8/12,390
吴浩宇,1514140114,女,4.62E+17,1997/4/26,355
吴俊雄,1514120820,男,5.02E+17,1997/10/6,429
吴灵,1514140115,男,5.12E+17,1996/11/26,338
吴情,1514140215,女,5.20E+17,1996/6/10,289
吴天虎,1515140717,女,5.31E+17,1997/9/2,412
吴田田,1514140116,女,5.41E+17,1997/7/28,261
吴伟,1515140718,女,6.11E+17,1996/6/24,306
吴雅君,1514140216,男,6.21E+17,1997/6/26,403
